scope,paired_rows,churn_random_minus_neighbor_pp,churn_difference_ci_low_pp,churn_difference_ci_high_pp,net_random_minus_neighbor_pp,net_difference_ci_low_pp,net_difference_ci_high_pp
all_benchmarks,29100,0.429553264604811,-0.1365671481202075,0.9856536720573665,-0.5463917525773196,-1.1728600401834792,0.06198991566500139
gsm1k,5000,-0.5599999999999999,-1.9561059764255622,0.8807656531138707,0.52,-1.047748627076509,2.0081135902636915
gsm8k,5000,1.38,-0.0004995004995004711,2.810951936393743,-0.86,-2.3265306122448983,0.5258102552597312
gsm_symbolic,5000,1.5,0.2595,2.78,-0.9400000000000001,-2.2399999999999998,0.36
humaneval,4100,-0.5609756097560975,-2.6097560975609757,1.4634146341463417,-0.9512195121951219,-3.3414634146341466,1.2439024390243902
mmlu_pro,5000,-0.98,-1.9483461042788495,-0.03999900099900101,-0.42,-1.3668341708542713,0.5651430248119599
truthfulqa,5000,1.6199999999999999,0.26676694045174537,2.9134256750294876,-0.7000000000000001,-2.0916624715353787,0.8368343430310485
