model,condition,rows,break_pct,fix_pct,net_pp,net_ci_low_pp,net_ci_high_pp,churn_pct,churn_ci_low_pct,churn_ci_high_pct,mcnemar_naive_p
Qwen_Qwen2.5-7B-Instruct,kbd_fatfinger,5820,7.714776632302406,6.718213058419244,-0.9965635738831614,-2.302083487521348,0.25723676995357203,14.432989690721648,13.319390284051162,15.655884573500195,0.04915473146793229
Qwen_Qwen2.5-7B-Instruct,kbd_neighbor,5820,10.257731958762886,6.855670103092784,-3.402061855670103,-4.780876494023905,-2.018396946097861,17.11340206185567,15.860300930646835,18.4106671968181,3.7934671090289934e-10
Qwen_Qwen2.5-7B-Instruct,kbd_nospace,5820,6.168384879725086,5.635738831615121,-0.5326460481099656,-1.656746158919193,0.5467028157263069,11.804123711340205,10.811709560856901,12.845024859387236,0.2523690031640136
Qwen_Qwen2.5-7B-Instruct,kbd_random,5820,11.632302405498281,6.2714776632302405,-5.360824742268041,-6.837286852402498,-3.926221193968285,17.903780068728523,16.683742732436198,19.152649041376144,2.7993928297382203e-22
Qwen_Qwen2.5-7B-Instruct,kbd_repeat,5820,7.920962199312714,6.1340206185567006,-1.7869415807560136,-3.0449989880779555,-0.5991613449992452,14.054982817869416,12.907679982399175,15.22119309517336,0.0003112800667296873
Qwen_Qwen2.5-7B-Instruct,kbd_swap,5820,9.037800687285223,7.0446735395189,-1.9931271477663228,-3.332319368976,-0.6561662822880283,16.082474226804123,14.988715494734148,17.281444074956184,0.00016767880062653565
Qwen_Qwen3-8B,kbd_fatfinger,5820,8.161512027491408,6.443298969072164,-1.718213058419244,-3.053216564075453,-0.44031789553173395,14.604810996563575,13.363736342553853,15.767895641166666,0.0006758454242640655
Qwen_Qwen3-8B,kbd_neighbor,5820,10.429553264604811,6.563573883161513,-3.865979381443299,-5.268983707825579,-2.540819229128148,16.993127147766323,15.71985795067255,18.234863279226225,8.47772861459488e-13
Qwen_Qwen3-8B,kbd_nospace,5820,5.515463917525773,5.429553264604811,-0.0859106529209622,-1.097792171816302,0.9270545523717958,10.945017182130584,9.991060388458378,11.8722798947597,0.8740899952918436
Qwen_Qwen3-8B,kbd_random,5820,10.97938144329897,6.288659793814433,-4.690721649484536,-6.01107486302461,-3.301475118840866,17.2680412371134,16.02162273787951,18.518692743376285,5.973771634605743e-18
Qwen_Qwen3-8B,kbd_repeat,5820,6.529209621993128,5.9450171821305835,-0.584192439862543,-1.8133536408852866,0.5181414300947899,12.474226804123711,11.36353856986387,13.589764384497183,0.22064494175531046
Qwen_Qwen3-8B,kbd_swap,5820,7.594501718213058,6.151202749140893,-1.443298969072165,-2.668243993113943,-0.2571950376206971,13.745704467353953,12.628687889988019,14.910786237715424,0.0033158730729711903
meta-llama_Llama-3.1-8B-Instruct,kbd_fatfinger,5820,8.762886597938143,7.0446735395189,-1.718213058419244,-2.958080462908766,-0.43030538960436876,15.807560137457044,14.632425848074163,16.91132989335737,0.001087708114431876
meta-llama_Llama-3.1-8B-Instruct,kbd_neighbor,5820,11.134020618556702,7.130584192439862,-4.0034364261168385,-5.419261760289773,-2.5599950851257827,18.264604810996563,17.011164291600394,19.500526734247664,9.069575196284166e-13
meta-llama_Llama-3.1-8B-Instruct,kbd_nospace,5820,7.422680412371134,6.305841924398625,-1.1168384879725086,-2.215360449795399,-0.051377388882410994,13.72852233676976,12.67372781033607,14.832795628381557,0.023504477104520277
meta-llama_Llama-3.1-8B-Instruct,kbd_random,5820,11.83848797250859,7.2508591065292105,-4.587628865979381,-5.955394491667435,-3.2103783874782845,19.0893470790378,17.84419083744492,20.318197881139625,1.068521944925116e-15
meta-llama_Llama-3.1-8B-Instruct,kbd_repeat,5820,7.714776632302406,6.666666666666667,-1.0481099656357387,-2.1152948820535875,0.12112480932906565,14.38144329896907,13.283378746594005,15.453659963442654,0.03802491705662751
