model,rows,break_pct,fix_pct,net_pp,net_ci_low_pp,net_ci_high_pp,churn_pct,churn_ci_low_pct,churn_ci_high_pct,mcnemar_naive_p
Qwen_Qwen2.5-7B-Instruct,34920,8.788659793814432,6.443298969072164,-2.345360824742268,-3.3422071863978076,-1.3938548642401156,15.231958762886597,14.418797841166647,16.07057461642389,2.649453161754086e-29
Qwen_Qwen3-8B,34920,8.20160366552119,6.136884306987399,-2.0647193585337913,-2.99351380863525,-1.143871050544032,14.33848797250859,13.497311750083757,15.16221045969009,2.137169925030866e-24
meta-llama_Llama-3.1-8B-Instruct,34920,9.292668957617412,6.769759450171821,-2.52290950744559,-3.470117899676177,-1.544134687493747,16.062428407789234,15.171756180733162,16.92690989319487,5.30188666741855e-32
microsoft_phi-4,34920,6.242840778923253,5.529782359679267,-0.7130584192439863,-1.5014613836702304,0.1300111365726269,11.772623138602519,11.024344004012264,12.529262116926388,0.00010927361511089022
mistralai_Mistral-7B-Instruct-v0.3,34920,9.759450171821307,8.559564719358534,-1.1998854524627722,-2.225189302310718,-0.2062054309496918,18.319014891179837,17.44637336050115,19.19431082851656,1.7133565535852275e-07
